t,event_type,source,leader_flash_time,follower_flash_time,timing_error_s
0.0,leader_flash,synthetic,0.0,,
0.5,leader_flash,synthetic,0.5,,
0.62,follower_flash,follower_oscillator,0.5,0.62,-0.12
1.0,leader_flash,synthetic,1.0,,
1.1,follower_flash,follower_oscillator,1.0,1.1,-0.1
1.5,leader_flash,synthetic,1.5,,
1.59,follower_flash,follower_oscillator,1.5,1.59,-0.09
2.0,leader_flash,synthetic,2.0,,
2.09,follower_flash,follower_oscillator,2.0,2.09,-0.09
2.5,leader_flash,synthetic,2.5,,
2.59,follower_flash,follower_oscillator,2.5,2.59,-0.09
3.0,leader_flash,synthetic,3.0,,
3.08,follower_flash,follower_oscillator,3.0,3.08,-0.08
3.5,leader_flash,synthetic,3.5,,
3.58,follower_flash,follower_oscillator,3.5,3.58,-0.08
3.58,sync_achieved,metrics,,,
4.0,leader_flash,synthetic,4.0,,
4.08,follower_flash,follower_oscillator,4.0,4.08,-0.08
4.5,leader_flash,synthetic,4.5,,
4.58,follower_flash,follower_oscillator,4.5,4.58,-0.08
5.0,leader_flash,synthetic,5.0,,
5.08,follower_flash,follower_oscillator,5.0,5.08,-0.08
5.5,leader_flash,synthetic,5.5,,
5.58,follower_flash,follower_oscillator,5.5,5.58,-0.08
6.0,leader_flash,synthetic,6.0,,
6.08,follower_flash,follower_oscillator,6.0,6.08,-0.08
6.5,leader_flash,synthetic,6.5,,
6.58,follower_flash,follower_oscillator,6.5,6.58,-0.08
7.0,leader_flash,synthetic,7.0,,
7.08,follower_flash,follower_oscillator,7.0,7.08,-0.08
7.5,leader_flash,synthetic,7.5,,
7.58,follower_flash,follower_oscillator,7.5,7.58,-0.08
8.0,leader_flash,synthetic,8.0,,
8.08,follower_flash,follower_oscillator,8.0,8.08,-0.08
8.5,leader_flash,synthetic,8.5,,
8.58,follower_flash,follower_oscillator,8.5,8.58,-0.08
9.0,leader_flash,synthetic,9.0,,
9.08,follower_flash,follower_oscillator,9.0,9.08,-0.08
9.5,leader_flash,synthetic,9.5,,
9.58,follower_flash,follower_oscillator,9.5,9.58,-0.08
10.0,leader_flash,synthetic,10.0,,
10.08,follower_flash,follower_oscillator,10.0,10.08,-0.08
10.5,leader_flash,synthetic,10.5,,
