batch_id,trial_id,model_name,leader_freq_hz,follower_initial_freq_hz,duration_s,synchronization_success,time_to_synchronization_s,steady_state_mean_abs_timing_error_s,steady_state_rmse_timing_error_s,steady_state_jitter_s,final_frequency_error_hz,convergence_quality,leader_flash_count,follower_flash_count,expected_leader_flash_count,leader_flash_count_ratio,trial_log_dir
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r01,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5050078255012886,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r01
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r02,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5050078255012886,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r02
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r03,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5050078255012886,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r03
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r04,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5050078255012886,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r04
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r05,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5050078255012886,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r05
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r01,eapf,2.0,1.8,30.0,True,8.549999999999862,0.003103,0.005571,0.004626,0.00033419314873261996,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r01
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r02,eapf,2.0,1.8,30.0,True,8.549999999999862,0.003103,0.005571,0.004626,0.00033419314873261996,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r02
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r03,eapf,2.0,1.8,30.0,True,8.549999999999862,0.003103,0.005571,0.004626,0.00033419314873261996,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r03
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r04,eapf,2.0,1.8,30.0,True,8.549999999999862,0.003103,0.005571,0.004626,0.00033419314873261996,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r04
20260615_180941_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r05,eapf,2.0,1.8,30.0,True,8.549999999999862,0.003103,0.005571,0.004626,0.00033419314873261996,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r05
20260615_180941_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r01,eapf,2.0,2.3,30.0,True,9.959999999999832,0.008621,0.010986,0.00681,0.0004754386405099176,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r01
20260615_180941_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r02,eapf,2.0,2.3,30.0,True,9.959999999999832,0.008621,0.010986,0.00681,0.0004754386405099176,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r02
20260615_180941_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r03,eapf,2.0,2.3,30.0,True,9.959999999999832,0.008621,0.010986,0.00681,0.0004754386405099176,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r03
20260615_180941_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r04,eapf,2.0,2.3,30.0,True,9.959999999999832,0.008621,0.010986,0.00681,0.0004754386405099176,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r04
20260615_180941_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r05,eapf,2.0,2.3,30.0,True,9.959999999999832,0.008621,0.010986,0.00681,0.0004754386405099176,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_180941_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r05
