t,event_type,source,leader_flash_time,follower_flash_time,timing_error_s
0.0,leader_flash,synthetic,0.0,,
0.5,leader_flash,synthetic,0.5,,
0.54,follower_flash,follower_oscillator,0.5,0.54,-0.04
1.0,leader_flash,synthetic,1.0,,
1.03,follower_flash,follower_oscillator,1.0,1.03,-0.03
1.5,leader_flash,synthetic,1.5,,
1.52,follower_flash,follower_oscillator,1.5,1.52,-0.02
2.0,leader_flash,synthetic,2.0,,
2.02,follower_flash,follower_oscillator,2.0,2.02,-0.02
2.5,leader_flash,synthetic,2.5,,
2.52,follower_flash,follower_oscillator,2.5,2.52,-0.02
2.52,sync_achieved,metrics,,,
3.0,leader_flash,synthetic,3.0,,
3.02,follower_flash,follower_oscillator,3.0,3.02,-0.02
3.5,leader_flash,synthetic,3.5,,
3.52,follower_flash,follower_oscillator,3.5,3.52,-0.02
4.0,leader_flash,synthetic,4.0,,
4.02,follower_flash,follower_oscillator,4.0,4.02,-0.02
4.5,leader_flash,synthetic,4.5,,
4.52,follower_flash,follower_oscillator,4.5,4.52,-0.02
5.0,leader_flash,synthetic,5.0,,
5.02,follower_flash,follower_oscillator,5.0,5.02,-0.02
5.5,leader_flash,synthetic,5.5,,
5.52,follower_flash,follower_oscillator,5.5,5.52,-0.02
6.0,leader_flash,synthetic,6.0,,
6.02,follower_flash,follower_oscillator,6.0,6.02,-0.02
6.5,leader_flash,synthetic,6.5,,
6.52,follower_flash,follower_oscillator,6.5,6.52,-0.02
7.0,leader_flash,synthetic,7.0,,
7.02,follower_flash,follower_oscillator,7.0,7.02,-0.02
7.5,leader_flash,synthetic,7.5,,
7.52,follower_flash,follower_oscillator,7.5,7.52,-0.02
8.0,leader_flash,synthetic,8.0,,
8.02,follower_flash,follower_oscillator,8.0,8.02,-0.02
8.5,leader_flash,synthetic,8.5,,
8.52,follower_flash,follower_oscillator,8.5,8.52,-0.02
9.0,leader_flash,synthetic,9.0,,
9.02,follower_flash,follower_oscillator,9.0,9.02,-0.02
9.5,leader_flash,synthetic,9.5,,
9.52,follower_flash,follower_oscillator,9.5,9.52,-0.02
10.0,leader_flash,synthetic,10.0,,
10.02,follower_flash,follower_oscillator,10.0,10.02,-0.02
10.5,leader_flash,synthetic,10.5,,
