batch_id,trial_id,model_name,leader_freq_hz,follower_initial_freq_hz,duration_s,synchronization_success,time_to_synchronization_s,steady_state_mean_abs_timing_error_s,steady_state_rmse_timing_error_s,steady_state_jitter_s,final_frequency_error_hz,convergence_quality,leader_flash_count,follower_flash_count,expected_leader_flash_count,leader_flash_count_ratio,trial_log_dir
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r01,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5102554841769951,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r01
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r02,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5102554841769951,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r02
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r03,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5102554841769951,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r03
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r04,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5102554841769951,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r04
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r05,eapf,2.0,1.5,30.0,False,,0.140455,0.164855,0.086312,0.5102554841769951,0.0,60,45,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r05
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r01,eapf,2.0,1.8,30.0,True,6.529999999999905,0.005172,0.007192,0.004997,0.00024057523627196709,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r01
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r02,eapf,2.0,1.8,30.0,True,6.529999999999905,0.005172,0.007192,0.004997,0.00024057523627196709,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r02
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r03,eapf,2.0,1.8,30.0,True,6.529999999999905,0.005172,0.007192,0.004997,0.00024057523627196709,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r03
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r04,eapf,2.0,1.8,30.0,True,6.529999999999905,0.005172,0.007192,0.004997,0.00024057523627196709,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r04
20260615_181621_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r05,eapf,2.0,1.8,30.0,True,6.529999999999905,0.005172,0.007192,0.004997,0.00024057523627196709,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r05
20260615_181621_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r01,eapf,2.0,2.3,30.0,True,7.509999999999884,0.005172,0.007192,0.004997,0.0003621375256863679,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r01
20260615_181621_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r02,eapf,2.0,2.3,30.0,True,7.509999999999884,0.005172,0.007192,0.004997,0.0003621375256863679,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r02
20260615_181621_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r03,eapf,2.0,2.3,30.0,True,7.509999999999884,0.005172,0.007192,0.004997,0.0003621375256863679,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r03
20260615_181621_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r04,eapf,2.0,2.3,30.0,True,7.509999999999884,0.005172,0.007192,0.004997,0.0003621375256863679,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r04
20260615_181621_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r05,eapf,2.0,2.3,30.0,True,7.509999999999884,0.005172,0.007192,0.004997,0.0003621375256863679,1.0,60,59,60.0,1.0,experiments\logs\stage3b_synthetic_models\20260615_181621_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r05
