t_s,state,virtual_event,brightness,signal_norm
1.2e-05,0,0,0,0
3.5e-05,0,0,0,0
4.8e-05,0,0,0,0
5.4e-05,0,0,0,0
5.8e-05,0,0,0,0
6.2e-05,0,0,0,0
6.6e-05,0,0,0,0
6.9e-05,0,0,0,0
7.2e-05,0,0,0,0
7.6e-05,0,0,0,0
7.9e-05,0,0,0,0
8.2e-05,0,0,0,0
8.6e-05,0,0,0,0
9e-05,0,0,0,0
9.4e-05,0,0,0,0
9.7e-05,0,0,0,0
0.0001,0,0,0,0
0.000104,0,0,0,0
0.000108,0,0,0,0
0.000112,0,0,0,0
0.000115,0,0,0,0
0.000119,0,0,0,0
0.000122,0,0,0,0
0.000125,0,0,0,0
0.000129,0,0,0,0
0.000133,0,0,0,0
0.000137,0,0,0,0
0.00014,0,0,0,0
0.000144,0,0,0,0
0.000148,0,0,0,0
0.000151,0,0,0,0
0.000155,0,0,0,0
0.000158,0,0,0,0
0.000161,0,0,0,0
0.000165,0,0,0,0
0.000168,0,0,0,0
0.000174,0,0,0,0
0.000177,0,0,0,0
0.00018,0,0,0,0
0.000184,0,0,0,0
0.000187,0,0,0,0
0.000191,0,0,0,0
0.000194,0,0,0,0
0.000198,0,0,0,0
0.000201,0,0,0,0
0.000204,0,0,0,0
0.000208,0,0,0,0
0.000211,0,0,0,0
0.000214,0,0,0,0
0.000218,0,0,0,0
0.000221,0,0,0,0
0.000224,0,0,0,0
0.000229,0,0,0,0
0.000233,0,0,0,0
0.000236,0,0,0,0
0.00024,0,0,0,0
0.000243,0,0,0,0
0.000247,0,0,0,0
0.00025,0,0,0,0
0.000254,0,0,0,0
0.000257,0,0,0,0
0.00026,0,0,0,0
0.000264,0,0,0,0
0.000267,0,0,0,0
0.00027,0,0,0,0
0.000274,0,0,0,0
0.000278,0,0,0,0
0.000282,0,0,0,0
0.000285,0,0,0,0
0.000289,0,0,0,0
0.000292,0,0,0,0
0.000295,0,0,0,0
0.000299,0,0,0,0
0.000302,0,0,0,0
0.000305,0,0,0,0
0.000308,0,0,0,0
0.000312,0,0,0,0
0.000315,0,0,0,0
0.000319,0,0,0,0
0.000322,0,0,0,0
0.000326,0,0,0,0
0.000329,0,0,0,0
0.000333,0,0,0,0
0.000337,0,0,0,0
0.000341,0,0,0,0
0.000344,0,0,0,0
0.000348,0,0,0,0
0.000351,0,0,0,0
0.000354,0,0,0,0
0.000358,0,0,0,0
0.000361,0,0,0,0
0.000365,0,0,0,0
0.000368,0,0,0,0
0.000372,0,0,0,0
0.000375,0,0,0,0
0.000378,0,0,0,0
0.000382,0,0,0,0
0.000385,0,0,0,0
0.000388,0,0,0,0
0.000393,0,0,0,0
0.000396,0,0,0,0
0.0004,0,0,0,0
0.000403,0,0,0,0
0.000407,0,0,0,0
0.00041,0,0,0,0
0.000414,0,0,0,0
0.000417,0,0,0,0
0.00042,0,0,0,0
0.000424,0,0,0,0
0.000429,0,0,0,0
0.000432,0,0,0,0
0.000435,0,0,0,0
0.000438,0,0,0,0
0.000442,0,0,0,0
0.000445,0,0,0,0
0.00045,0,0,0,0
0.000453,0,0,0,0
0.000458,0,0,0,0
0.000462,0,0,0,0
0.000465,0,0,0,0
0.000468,0,0,0,0
0.000472,0,0,0,0
0.000475,0,0,0,0
0.000478,0,0,0,0
0.000481,0,0,0,0
0.000484,0,0,0,0
0.000488,0,0,0,0
0.000491,0,0,0,0
0.000494,0,0,0,0
0.000498,0,0,0,0
0.000502,0,0,0,0
0.000506,0,0,0,0
0.000509,0,0,0,0
0.000513,0,0,0,0
0.000516,0,0,0,0
0.000519,0,0,0,0
0.000523,0,0,0,0
0.000526,0,0,0,0
0.00053,0,0,0,0
0.000533,0,0,0,0
0.000537,0,0,0,0
0.00054,0,0,0,0
0.000545,0,0,0,0
0.000548,0,0,0,0
0.000552,0,0,0,0
0.000555,0,0,0,0
0.000558,0,0,0,0
0.000563,0,0,0,0
0.000566,0,0,0,0
0.00057,0,0,0,0
0.000574,0,0,0,0
0.000577,0,0,0,0
0.00058,0,0,0,0
0.000583,0,0,0,0
0.000587,0,0,0,0
0.00059,0,0,0,0
0.000593,0,0,0,0
0.000596,0,0,0,0
0.0006,0,0,0,0
0.000603,0,0,0,0
0.000606,0,0,0,0
0.000609,0,0,0,0
0.000613,0,0,0,0
0.000617,0,0,0,0
0.000621,0,0,0,0
0.000624,0,0,0,0
0.000627,0,0,0,0
0.000632,0,0,0,0
0.000635,0,0,0,0
0.000638,0,0,0,0
0.000642,0,0,0,0
0.000645,0,0,0,0
0.000648,0,0,0,0
0.000652,0,0,0,0
0.000656,0,0,0,0
0.000659,0,0,0,0
0.000662,0,0,0,0
0.000666,0,0,0,0
0.000669,0,0,0,0
0.000674,0,0,0,0
0.000678,0,0,0,0
0.000681,0,0,0,0
0.000685,0,0,0,0
0.000688,0,0,0,0
0.000691,0,0,0,0
0.000694,0,0,0,0
0.000698,0,0,0,0
0.000701,0,0,0,0
0.000705,0,0,0,0
0.000708,0,0,0,0
0.000711,0,0,0,0
0.000714,0,0,0,0
0.000718,0,0,0,0
0.000722,0,0,0,0
0.000727,0,0,0,0
0.00073,0,0,0,0
0.000734,0,0,0,0
0.000737,0,0,0,0
0.00074,0,0,0,0
0.000744,0,0,0,0
0.000747,0,0,0,0
0.000751,0,0,0,0
0.000755,0,0,0,0
0.000758,0,0,0,0
0.000761,0,0,0,0
0.000764,0,0,0,0
0.000768,0,0,0,0
0.000771,0,0,0,0
0.000774,0,0,0,0
0.000777,0,0,0,0
0.000782,0,0,0,0
0.000785,0,0,0,0
0.000789,0,0,0,0
0.000792,0,0,0,0
0.000795,0,0,0,0
0.000798,0,0,0,0
0.000819,0,0,0,0
0.000822,0,0,0,0
0.000826,0,0,0,0
0.000831,0,0,0,0
0.000834,0,0,0,0
0.000838,0,0,0,0
0.000841,0,0,0,0
0.000844,0,0,0,0
0.000847,0,0,0,0
0.00085,0,0,0,0
0.000855,0,0,0,0
0.000858,0,0,0,0
0.000862,0,0,0,0
0.000865,0,0,0,0
0.000868,0,0,0,0
0.000872,0,0,0,0
0.000875,0,0,0,0
0.000879,0,0,0,0
0.000882,0,0,0,0
0.000886,0,0,0,0
0.000889,0,0,0,0
0.000892,0,0,0,0
0.000896,0,0,0,0
0.000899,0,0,0,0
0.000902,0,0,0,0
0.000905,0,0,0,0
0.00091,0,0,0,0
0.000913,0,0,0,0
0.000918,0,0,0,0
0.000921,0,0,0,0
0.000924,0,0,0,0
0.000928,0,0,0,0
0.000931,0,0,0,0
0.000934,0,0,0,0
0.000938,0,0,0,0
0.000941,0,0,0,0
0.000944,0,0,0,0
0.000947,0,0,0,0
0.000951,0,0,0,0
0.000954,0,0,0,0
0.000958,0,0,0,0
0.000961,0,0,0,0
0.000966,0,0,0,0
0.000969,0,0,0,0
0.000972,0,0,0,0
0.000976,0,0,0,0
0.000979,0,0,0,0
0.000983,0,0,0,0
0.000986,0,0,0,0
0.00099,0,0,0,0
0.000993,0,0,0,0
0.000997,0,0,0,0
0.001,0,0,0,0
0.001006,0,0,0,0
0.001009,0,0,0,0
0.001013,0,0,0,0
0.001016,0,0,0,0
0.00102,0,0,0,0
0.001024,0,0,0,0
0.001028,0,0,0,0
0.001031,0,0,0,0
0.001035,0,0,0,0
0.001038,0,0,0,0
0.001042,0,0,0,0
0.001045,0,0,0,0
0.001048,0,0,0,0
0.001052,0,0,0,0
0.001055,0,0,0,0
0.001058,0,0,0,0
0.001062,0,0,0,0
0.001065,0,0,0,0
0.001069,0,0,0,0
0.001072,0,0,0,0
0.001076,0,0,0,0
0.00108,0,0,0,0
0.001084,0,0,0,0
0.001087,0,0,0,0
0.00109,0,0,0,0
0.001094,0,0,0,0
0.001098,0,0,0,0
0.001102,0,0,0,0
0.001105,0,0,0,0
0.001108,0,0,0,0
0.001112,0,0,0,0
0.001115,0,0,0,0
0.001118,0,0,0,0
0.001122,0,0,0,0
0.001125,0,0,0,0
0.001129,0,0,0,0
0.001132,0,0,0,0
0.001141,0,0,0,0
0.001144,0,0,0,0
0.001147,0,0,0,0
0.001152,0,0,0,0
0.001155,0,0,0,0
0.001158,0,0,0,0
0.001161,0,0,0,0
0.001165,0,0,0,0
0.001168,0,0,0,0
0.001172,0,0,0,0
0.001175,0,0,0,0
0.001178,0,0,0,0
0.001182,0,0,0,0
0.001185,0,0,0,0
0.001188,0,0,0,0
0.001192,0,0,0,0
0.001195,0,0,0,0
0.001198,0,0,0,0
0.001202,0,0,0,0
0.001205,0,0,0,0
0.001208,0,0,0,0
0.001211,0,0,0,0
0.001214,0,0,0,0
0.001218,0,0,0,0
0.001221,0,0,0,0
0.001224,0,0,0,0
0.001228,0,0,0,0
0.001231,0,0,0,0
0.001234,0,0,0,0
0.001237,0,0,0,0
0.001241,0,0,0,0
0.001244,0,0,0,0
0.001248,0,0,0,0
0.001251,0,0,0,0
0.001254,0,0,0,0
0.001257,0,0,0,0
0.00126,0,0,0,0
0.001264,0,0,0,0
0.001267,0,0,0,0
0.00127,0,0,0,0
0.001274,0,0,0,0
0.001277,0,0,0,0
0.00128,0,0,0,0
0.001284,0,0,0,0
0.001287,0,0,0,0
0.001291,0,0,0,0
0.001294,0,0,0,0
0.001299,0,0,0,0
0.001302,0,0,0,0
0.001305,0,0,0,0
0.001309,0,0,0,0
0.001312,0,0,0,0
0.001315,0,0,0,0
0.001318,0,0,0,0
0.001321,0,0,0,0
0.001325,0,0,0,0
0.001328,0,0,0,0
0.001331,0,0,0,0
0.001335,0,0,0,0
0.001338,0,0,0,0
0.001341,0,0,0,0
0.001344,0,0,0,0
0.001348,0,0,0,0
0.001351,0,0,0,0
0.001355,0,0,0,0
0.001358,0,0,0,0
0.001361,0,0,0,0
0.001364,0,0,0,0
0.001368,0,0,0,0
0.001371,0,0,0,0
0.001374,0,0,0,0
0.001378,0,0,0,0
0.001381,0,0,0,0
0.001384,0,0,0,0
0.001387,0,0,0,0
0.00139,0,0,0,0
0.001394,0,0,0,0
0.001397,0,0,0,0
0.0014,0,0,0,0
0.001404,0,0,0,0
0.001407,0,0,0,0
0.001411,0,0,0,0
0.001414,0,0,0,0
0.001417,0,0,0,0
0.00142,0,0,0,0
0.001424,0,0,0,0
0.001427,0,0,0,0
0.00143,0,0,0,0
0.001434,0,0,0,0
0.001437,0,0,0,0
0.00144,0,0,0,0
0.001444,0,0,0,0
0.001447,0,0,0,0
0.00145,0,0,0,0
0.001454,0,0,0,0
0.001458,0,0,0,0
0.001462,0,0,0,0
0.001466,0,0,0,0
0.001469,0,0,0,0
0.001472,0,0,0,0
0.001476,0,0,0,0
0.001479,0,0,0,0
0.001482,0,0,0,0
0.001485,0,0,0,0
0.001489,0,0,0,0
0.001492,0,0,0,0
0.001495,0,0,0,0
0.001499,0,0,0,0
0.001502,0,0,0,0
0.001505,0,0,0,0
0.001508,0,0,0,0
0.001512,0,0,0,0
0.001516,0,0,0,0
0.001519,0,0,0,0
0.001522,0,0,0,0
0.001526,0,0,0,0
0.001529,0,0,0,0
0.001532,0,0,0,0
0.001536,0,0,0,0
0.001539,0,0,0,0
0.001542,0,0,0,0
0.001546,0,0,0,0
0.001549,0,0,0,0
0.001552,0,0,0,0
0.001556,0,0,0,0
0.001559,0,0,0,0
0.001562,0,0,0,0
0.001567,0,0,0,0
0.00157,0,0,0,0
0.001574,0,0,0,0
0.001577,0,0,0,0
0.001581,0,0,0,0
0.001584,0,0,0,0
0.001587,0,0,0,0
0.00159,0,0,0,0
0.001594,0,0,0,0
0.001597,0,0,0,0
0.0016,0,0,0,0
0.001604,0,0,0,0
0.001607,0,0,0,0
0.00161,0,0,0,0
0.001614,0,0,0,0
0.001618,0,0,0,0
0.001622,0,0,0,0
0.001625,0,0,0,0
0.001628,0,0,0,0
0.001632,0,0,0,0
0.001635,0,0,0,0
0.001638,0,0,0,0
0.001642,0,0,0,0
0.001645,0,0,0,0
0.00165,0,0,0,0
0.001653,0,0,0,0
0.001657,0,0,0,0
0.00166,0,0,0,0
0.001663,0,0,0,0
0.001667,0,0,0,0
0.00167,0,0,0,0
0.001674,0,0,0,0
0.001679,0,0,0,0
0.001682,0,0,0,0
0.001686,0,0,0,0
0.001689,0,0,0,0
0.001692,0,0,0,0
0.001696,0,0,0,0
0.001699,0,0,0,0
0.001702,0,0,0,0
0.001706,0,0,0,0
0.001709,0,0,0,0
0.001713,0,0,0,0
0.001716,0,0,0,0
0.001719,0,0,0,0
0.001723,0,0,0,0
0.001726,0,0,0,0
0.00173,0,0,0,0
0.001733,0,0,0,0
0.001737,0,0,0,0
0.00174,0,0,0,0
0.001744,0,0,0,0
0.001747,0,0,0,0
0.00175,0,0,0,0
0.001753,0,0,0,0
0.001757,0,0,0,0
0.00176,0,0,0,0
0.001763,0,0,0,0
0.001767,0,0,0,0
0.00177,0,0,0,0
0.001773,0,0,0,0
0.001776,0,0,0,0
0.00178,0,0,0,0
0.001784,0,0,0,0
0.001789,0,0,0,0
0.001792,0,0,0,0
0.001796,0,0,0,0
0.001836,0,0,0,0
0.001841,0,0,0,0
0.001844,0,0,0,0
0.001848,0,0,0,0
0.001851,0,0,0,0
0.001855,0,0,0,0
0.001858,0,0,0,0
0.001861,0,0,0,0
0.001864,0,0,0,0
0.001868,0,0,0,0
0.001871,0,0,0,0
0.001874,0,0,0,0
0.001879,0,0,0,0
0.001882,0,0,0,0
0.001885,0,0,0,0
0.001889,0,0,0,0
0.001892,0,0,0,0
0.001895,0,0,0,0
0.001898,0,0,0,0
0.001902,0,0,0,0
0.001905,0,0,0,0
0.00191,0,0,0,0
0.001913,0,0,0,0
0.001916,0,0,0,0
0.001919,0,0,0,0
0.001924,0,0,0,0
0.001927,0,0,0,0
0.001931,0,0,0,0
0.001935,0,0,0,0
0.00194,0,0,0,0
0.001943,0,0,0,0
0.001947,0,0,0,0
0.00195,0,0,0,0
0.001954,0,0,0,0
0.001957,0,0,0,0
0.00196,0,0,0,0
0.001963,0,0,0,0
0.001967,0,0,0,0
0.00197,0,0,0,0
0.001973,0,0,0,0
0.001977,0,0,0,0
0.00198,0,0,0,0
0.001983,0,0,0,0
0.001986,0,0,0,0
0.001991,0,0,0,0
0.001995,0,0,0,0
0.001998,0,0,0,0
0.002001,0,0,0,0
0.002005,0,0,0,0
0.002008,0,0,0,0
0.002012,0,0,0,0
0.002016,0,0,0,0
0.002019,0,0,0,0
0.002023,0,0,0,0
0.002026,0,0,0,0
0.002029,0,0,0,0
0.002033,0,0,0,0
0.002036,0,0,0,0
0.002039,0,0,0,0
0.002043,0,0,0,0
0.002047,0,0,0,0
0.002052,0,0,0,0
0.002055,0,0,0,0
0.002059,0,0,0,0
0.002062,0,0,0,0
0.002065,0,0,0,0
0.002068,0,0,0,0
0.002072,0,0,0,0
0.002075,0,0,0,0
0.002078,0,0,0,0
0.002082,0,0,0,0
0.002085,0,0,0,0
0.002088,0,0,0,0
0.002092,0,0,0,0
0.002095,0,0,0,0
0.0021,0,0,0,0
0.002104,0,0,0,0
0.002107,0,0,0,0
0.002111,0,0,0,0
0.002114,0,0,0,0
0.002117,0,0,0,0
0.002121,0,0,0,0
0.002124,0,0,0,0
0.002127,0,0,0,0
0.002131,0,0,0,0
0.002134,0,0,0,0
0.002137,0,0,0,0
0.002141,0,0,0,0
0.002144,0,0,0,0
0.002147,0,0,0,0
0.002151,0,0,0,0
0.002155,0,0,0,0
0.002158,0,0,0,0
0.002164,0,0,0,0
0.002168,0,0,0,0
0.002171,0,0,0,0
0.002174,0,0,0,0
0.002178,0,0,0,0
0.002181,0,0,0,0
0.002184,0,0,0,0
0.002188,0,0,0,0
0.002192,0,0,0,0
0.002196,0,0,0,0
0.002199,0,0,0,0
0.002202,0,0,0,0
0.002206,0,0,0,0
0.002209,0,0,0,0
0.002214,0,0,0,0
0.002217,0,0,0,0
0.002221,0,0,0,0
0.002224,0,0,0,0
0.002228,0,0,0,0
0.002231,0,0,0,0
0.002234,0,0,0,0
0.002238,0,0,0,0
0.002241,0,0,0,0
0.002244,0,0,0,0
0.002248,0,0,0,0
0.002251,0,0,0,0
0.002254,0,0,0,0
0.002257,0,0,0,0
0.002261,0,0,0,0
0.002264,0,0,0,0
0.002268,0,0,0,0
0.002272,0,0,0,0
0.002277,0,0,0,0
0.00228,0,0,0,0
0.002284,0,0,0,0
0.002288,0,0,0,0
0.002291,0,0,0,0
0.002294,0,0,0,0
0.002298,0,0,0,0
0.002301,0,0,0,0
0.002304,0,0,0,0
0.002307,0,0,0,0
0.00231,0,0,0,0
0.002314,0,0,0,0
0.002317,0,0,0,0
0.00232,0,0,0,0
0.002325,0,0,0,0
0.002329,0,0,0,0
0.002332,0,0,0,0
0.002335,0,0,0,0
0.002339,0,0,0,0
0.002342,0,0,0,0
0.002345,0,0,0,0
0.002348,0,0,0,0
0.002352,0,0,0,0
0.002355,0,0,0,0
0.002358,0,0,0,0
0.002361,0,0,0,0
0.002365,0,0,0,0
0.002369,0,0,0,0
0.002372,0,0,0,0
0.002376,0,0,0,0
0.00238,0,0,0,0
0.002383,0,0,0,0
0.002388,0,0,0,0
0.002392,0,0,0,0
0.002395,0,0,0,0
0.002399,0,0,0,0
0.002402,0,0,0,0
0.002406,0,0,0,0
0.002409,0,0,0,0
0.002413,0,0,0,0
0.002416,0,0,0,0
0.002419,0,0,0,0
0.002423,0,0,0,0
0.002426,0,0,0,0
0.002429,0,0,0,0
0.002433,0,0,0,0
0.002438,0,0,0,0
0.002441,0,0,0,0
0.002446,0,0,0,0
0.002449,0,0,0,0
0.002453,0,0,0,0
0.002456,0,0,0,0
0.00246,0,0,0,0
0.002464,0,0,0,0
0.002468,0,0,0,0
0.002471,0,0,0,0
0.002474,0,0,0,0
0.002478,0,0,0,0
0.002481,0,0,0,0
0.002484,0,0,0,0
0.002487,0,0,0,0
0.002491,0,0,0,0
0.002496,0,0,0,0
0.0025,0,0,0,0
0.002504,0,0,0,0
0.002507,0,0,0,0
0.00251,0,0,0,0
0.002514,0,0,0,0
0.002517,0,0,0,0
0.00252,0,0,0,0
0.002524,0,0,0,0
0.002527,0,0,0,0
0.002531,0,0,0,0
0.002534,0,0,0,0
0.002537,0,0,0,0
0.002541,0,0,0,0
0.002544,0,0,0,0
0.002549,0,0,0,0
0.002553,0,0,0,0
0.002557,0,0,0,0
0.00256,0,0,0,0
0.002563,0,0,0,0
0.002567,0,0,0,0
0.00257,0,0,0,0
0.002574,0,0,0,0
0.002577,0,0,0,0
0.00258,0,0,0,0
0.002584,0,0,0,0
0.002587,0,0,0,0
0.00259,0,0,0,0
0.002593,0,0,0,0
0.002597,0,0,0,0
0.0026,0,0,0,0
0.002605,0,0,0,0
0.002608,0,0,0,0
0.002613,0,0,0,0
0.002616,0,0,0,0
0.002619,0,0,0,0
0.002623,0,0,0,0
0.002626,0,0,0,0
0.002629,0,0,0,0
0.002632,0,0,0,0
0.002636,0,0,0,0
0.00264,0,0,0,0
0.002644,0,0,0,0
0.002648,0,0,0,0
0.002651,0,0,0,0
0.002654,0,0,0,0
0.002658,0,0,0,0
0.002662,0,0,0,0
0.002666,0,0,0,0
0.002669,0,0,0,0
0.002672,0,0,0,0
0.002676,0,0,0,0
0.002679,0,0,0,0
0.002682,0,0,0,0
0.002685,0,0,0,0
0.002689,0,0,0,0
0.002692,0,0,0,0
0.002695,0,0,0,0
0.002699,0,0,0,0
0.002702,0,0,0,0
0.002705,0,0,0,0
0.002708,0,0,0,0
0.002712,0,0,0,0
0.002716,0,0,0,0
0.002719,0,0,0,0
0.002724,0,0,0,0
0.002727,0,0,0,0
0.002731,0,0,0,0
0.002735,0,0,0,0
0.002738,0,0,0,0
0.002741,0,0,0,0
0.002745,0,0,0,0
0.002749,0,0,0,0
0.002752,0,0,0,0
0.002759,0,0,0,0
0.002762,0,0,0,0
0.002766,0,0,0,0
0.002769,0,0,0,0
0.002773,0,0,0,0
0.002778,0,0,0,0
0.002782,0,0,0,0
0.002785,0,0,0,0
0.002788,0,0,0,0
0.002792,0,0,0,0
0.002795,0,0,0,0
0.002798,0,0,0,0
0.002807,0,0,0,0
0.002811,0,0,0,0
0.002814,0,0,0,0
0.002818,0,0,0,0
0.002821,0,0,0,0
0.002824,0,0,0,0
0.002829,0,0,0,0
0.002833,0,0,0,0
0.002836,0,0,0,0
0.002841,0,0,0,0
0.002844,0,0,0,0
0.002849,0,0,0,0
0.002852,0,0,0,0
0.002856,0,0,0,0
0.002859,0,0,0,0
0.002862,0,0,0,0
0.002865,0,0,0,0
0.002869,0,0,0,0
0.002872,0,0,0,0
0.002875,0,0,0,0
0.002879,0,0,0,0
0.002882,0,0,0,0
0.002885,0,0,0,0
0.002888,0,0,0,0
0.002892,0,0,0,0
0.002896,0,0,0,0
0.0029,0,0,0,0
0.002903,0,0,0,0
