batch_id,trial_id,model_name,leader_freq_hz,follower_initial_freq_hz,duration_s,synchronization_success,time_to_synchronization_s,steady_state_mean_abs_timing_error_s,steady_state_rmse_timing_error_s,steady_state_jitter_s,final_frequency_error_hz,convergence_quality,leader_flash_count,follower_flash_count,expected_leader_flash_count,leader_flash_count_ratio,failure_label,pco_coupling_mode,trial_log_dir
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r01,eapf,2.0,1.5,30.0,True,12.029999999999788,0.004643,0.006814,0.004987,2.4844032905146918e-05,1.0,60,57,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r01
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r02,eapf,2.0,1.5,30.0,True,12.029999999999788,0.004643,0.006814,0.004987,2.4844032905146918e-05,1.0,60,57,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r02
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r03,eapf,2.0,1.5,30.0,True,12.029999999999788,0.004643,0.006814,0.004987,2.4844032905146918e-05,1.0,60,57,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r03
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r04,eapf,2.0,1.5,30.0,True,12.029999999999788,0.004643,0.006814,0.004987,2.4844032905146918e-05,1.0,60,57,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r04
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.5Hz_r05,eapf,2.0,1.5,30.0,True,12.029999999999788,0.004643,0.006814,0.004987,2.4844032905146918e-05,1.0,60,57,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.5Hz_r05
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r01,eapf,2.0,1.8,30.0,True,2.5899999999999888,0.006552,0.008094,0.004753,7.094557054276862e-06,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r01
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r02,eapf,2.0,1.8,30.0,True,2.5899999999999888,0.006552,0.008094,0.004753,7.094557054276862e-06,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r02
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r03,eapf,2.0,1.8,30.0,True,2.5899999999999888,0.006552,0.008094,0.004753,7.094557054276862e-06,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r03
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r04,eapf,2.0,1.8,30.0,True,2.5899999999999888,0.006552,0.008094,0.004753,7.094557054276862e-06,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r04
20260615_190305_eapf_synthetic_batch,L2.0Hz_F1.8Hz_r05,eapf,2.0,1.8,30.0,True,2.5899999999999888,0.006552,0.008094,0.004753,7.094557054276862e-06,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F1.8Hz_r05
20260615_190305_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r01,eapf,2.0,2.3,30.0,True,6.969999999999896,0.003448,0.005872,0.004753,1.0182023839400145e-05,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r01
20260615_190305_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r02,eapf,2.0,2.3,30.0,True,6.969999999999896,0.003448,0.005872,0.004753,1.0182023839400145e-05,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r02
20260615_190305_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r03,eapf,2.0,2.3,30.0,True,6.969999999999896,0.003448,0.005872,0.004753,1.0182023839400145e-05,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r03
20260615_190305_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r04,eapf,2.0,2.3,30.0,True,6.969999999999896,0.003448,0.005872,0.004753,1.0182023839400145e-05,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r04
20260615_190305_eapf_synthetic_batch,L2.0Hz_F2.3Hz_r05,eapf,2.0,2.3,30.0,True,6.969999999999896,0.003448,0.005872,0.004753,1.0182023839400145e-05,1.0,60,59,60.0,1.0,success,,experiments\logs\stage3b_synthetic_models\20260615_190305_eapf_synthetic_batch\trials\L2.0Hz_F2.3Hz_r05
